date,AAPL_PRICE,AAPL_RET,AAPL_MA20,AAPL_MA60,AAPL_VOL20,AMZN_PRICE,AMZN_RET,AMZN_MA20,AMZN_MA60,AMZN_VOL20,FB_PRICE,FB_RET,FB_MA20,FB_MA60,FB_VOL20,GOOGL_PRICE,GOOGL_RET,GOOGL_MA20,GOOGL_MA60,GOOGL_VOL20,GS_PRICE,GS_RET,GS_MA20,GS_MA60,GS_VOL20,MSFT_PRICE,MSFT_RET,MSFT_MA20,MSFT_MA60,MSFT_VOL20,T_PRICE,T_RET,T_MA20,T_MA60,T_VOL20
2013-05-06,65.8156,0.023844636512410977,60.446495000000006,62.54085333333333,0.02149665872235241,255.72,-0.009029257895756704,262.2335,263.554,0.023994402882276163,27.57,-0.026173572109780663,26.957125,27.05438333333333,0.024058816529568306,431.2058,0.018717741727813708,403.02367,403.12277166666667,0.015002452744159714,148.45,0.021187315126917516,144.4595,148.5155,0.014705048564477591,33.75,0.007763511495968878,30.92025,29.032249999999998,0.02026174539909772,37.09,-0.006695232994108236,37.80800000000001,36.793,0.013896608514880032
2013-05-07,65.5225,-0.004453351485058432,60.672765000000005,62.50199166666666,0.02157755825698124,257.73,0.007860159549507362,262.063,263.48366666666664,0.023983240628815357,26.889,-0.024700761697497353,26.972075,27.026783333333334,0.024657210330838793,429.0436,-0.005014311031994456,405.01516,403.7222033333333,0.015180217088397384,149.32,0.005860559110811847,144.59949999999998,148.4775,0.014189880017875675,33.31,-0.013037037037036958,31.10525,29.12825,0.019747514364344434,37.52,0.011593421407387394,37.79600000000001,36.8305,0.014135336066840257
2013-05-08,66.2628,0.011298408943492877,60.873835,62.463681666666666,0.021303483300362084,258.68,0.003686028013812903,261.75849999999997,263.5081666666667,0.02377101159673127,27.12,0.008590873591431514,26.949575,27.007783333333332,0.02325477219343198,437.2518,0.019131388977716934,407.10349499999995,404.48304666666667,0.015311053294199142,150.26,0.0062952049290114775,144.6395,148.4445,0.013537361796928223,32.99,-0.009606724707295067,31.240750000000002,29.213749999999997,0.019641864233882384,37.83,0.008262260127931631,37.778499999999994,36.87383333333333,0.014028571294982419
2013-05-09,65.2528,-0.015242338084113682,61.034119999999994,62.43718166666667,0.021666682855026275,260.16,0.005721354569352188,261.274,263.53249999999997,0.023359654055822708,27.04,-0.002949852507374673,26.9007,27.00228333333333,0.02291860990213899,436.1757,-0.0024610533335711615,409.13277000000005,405.2403033333333,0.01536879755362946,148.54,-0.011446825502462343,144.613,148.35166666666663,0.013781223597904358,32.66,-0.010003031221582415,31.427,29.293416666666666,0.01636722455645625,37.33,-0.01321702352630183,37.718,36.90266666666667,0.014110159058763772
2013-05-10,64.7099,-0.008319949488757361,61.19962,62.403753333333334,0.021604162481546545,263.63,0.01333794587945869,260.812,263.4351666666667,0.0234261667177054,26.68,-0.013313609467455634,26.8647,26.981825,0.022588213617280344,440.5551,0.010040449296006226,411.38952499999994,406.0525316666666,0.015352189081414523,149.1,0.0037700282752120007,144.61200000000002,148.26133333333334,0.013808145979632125,32.69,0.0009185548071035665,31.622000000000003,29.371083333333335,0.01620638639854572,37.36,0.000803643182426983,37.6565,36.934999999999995,0.014105444021942408
2013-05-13,64.9628,0.003908211881025858,61.44883500000001,62.375539999999994,0.02071920070521603,264.51,0.0033380116071766164,260.6515,263.35633333333334,0.023080832435056972,26.82,0.005247376311844132,26.879699999999996,26.953825,0.021400953639510584,439.2038,-0.0030672667278167642,413.781915,406.8008633333333,0.015042987805288639,149.63,0.0035546613011401273,144.77050000000003,148.15633333333335,0.013160135181984023,33.03,0.01040073416947096,31.839,29.454250000000002,0.016053436215472984,37.0,-0.009635974304068484,37.609,36.963499999999996,0.013797109574509848
2013-05-14,63.4085,-0.023926000726569696,61.57469,62.336729999999996,0.02145972056714119,268.33,0.014441798041662013,260.45099999999996,263.41033333333337,0.02297620053174824,27.07,0.00932140193885167,26.8872,26.93299166666667,0.02123640908226981,443.9936,0.010905643348258831,416.12751,407.5867333333333,0.014951867850938425,154.52,0.032680612176702706,145.29149999999998,148.14849999999998,0.01426687725441927,33.53,0.015137753557372013,32.06699999999999,29.54625,0.016143553266469463,37.23,0.006216216216216042,37.5735,36.99466666666667,0.013895352594904105
2013-05-15,61.2642,-0.03381723270539427,61.76075999999999,62.26258666666667,0.018850663324611775,266.56,-0.006596355234226414,260.409,263.35716666666667,0.022652067772201506,26.6,-0.017362393793867725,26.88595,26.894158333333333,0.021465161436050234,458.4029,0.03245384618156644,419.46408999999994,408.49630833333333,0.015361203192199857,155.61,0.0070541030287341044,146.042,148.0978333333333,0.012675661671381006,33.845,0.009394572025052117,32.318,29.642916666666668,0.015877367236425938,37.53,0.008058017727639033,37.561,37.025666666666666,0.014009442135492869
2013-05-16,62.0825,0.013356903379134977,62.06452999999999,62.228605,0.01758094943769923,264.12,-0.00915366146458585,260.644,263.319,0.02166386847294125,26.13,-0.017669172932330945,26.90795,26.85529166666667,0.020277193770074146,452.3869,-0.013123826223612411,422.916435,409.4256533333334,0.014634728640208093,154.47,-0.007326007326007411,146.8355,148.08599999999998,0.012205519771363428,34.08,0.006943418525631628,32.5825,29.746416666666665,0.015727463203850257,37.38,-0.003996802557953649,37.543,37.057500000000005,0.014033899887314748
2013-05-17,61.8942,-0.003033060846454383,62.369745,62.19812833333334,0.017558708870402204,269.9,0.02188399212479175,261.123,263.385,0.022154399111525568,26.25,0.004592422502870397,26.93395,26.838075,0.020292602384839847,455.0446,0.005874838550806727,425.65191999999996,410.3736833333333,0.011946598724256855,158.18,0.02401760859713864,147.8085,148.20766666666665,0.012824501875818187,34.87,0.02318075117370899,32.83774999999999,29.869416666666666,0.014987589007653849,37.44,0.0016051364365969878,37.501000000000005,37.091,0.013615181615877145
